RecordID,id,type,text1,text2,text3,text4,notes
459,planet_ailmar,CUSTOM,"um mundo frio e ameacador, ailmar, no entanto, foi selecionado para semeadura por uma antiga nave de esporos devido ao vulcanismo existente. quando os humanos chegaram ao sistema westernesse, encontraram um mundo de terras altas sem vida, desgastadas pelas tempestades de gelo. mas a vida encontrou pequenos vales e desfiladeiros, e ate florestas de genmod laricio-6 agrupadas em provincias vulcanicas. viver e dificil para ailmar, mas e um mundo vivo apesar das dificuldades.","","industrializado antes do colapso, ailmar conseguiu manter sua independencia do reino de westernesse ao se comprometer com varios poderes concorrentes fora do sistema, incluindo a igreja ludica e ocasionalmente piratas, incluindo notoriamente uma alianca temporaria com o senhor da guerra leonis. os ailmarene sao os antagonistas preferidos no holo-entretenimento de fikenhild, retratados como estoicos e traicoeiros.","",
317,organs,RESOURCE,"substituicao de orgaos e uma pratica bem estabelecida, mas os materiais sao delicados e seu cultivo e um processo inconstante. sempre ha um mercado para orgaos saudaveis e sempre uma fonte, se nao fizermos muitas perguntas.","","","",
131,broadsword,SHIP,"resistente e agil, a espada larga carrega um lancador de sinalizadores chamariz que afasta o fogo defensivo de alvos de alto valor, como bombardeiros e suas cargas uteis. no entanto, pode vacilar se for confrontado com a necessidade de desferir o golpe mortal.","","","",
103,hammerhead,SHIP,"um contratorpedeiro de linha media da era de ouro do dominio, o hammerhead e respeitado por seu poder de permanencia em batalha, bem como por suas capacidades balisticas.","","","",
310,volatiles,RESOURCE,isotopos raros de elementos mais leves ? como o deuterio ? com aplicacoes criticas na producao de combustivel e outros processos industriais avancados.,"","","",
199,intercept,ACTION_TOOLTIP,"ordene a sua frota que lance um ataque dedicado a este navio. os navios com esta missao tentarao atacar o navio alvo independentemente da situacao tatica, expondo-se a maiores riscos.",eliminar,"","",
147,defender,SHIP,"embora as maquinas de guerra automatizadas fossem proibidas no espaco central do dominio, os drones de guerra eram silenciosamente empregados fora do volume oficialmente incorporado. as guarnicoes fronteiricas eram muitas vezes reforcadas por navios drone e eram mobilizadas liberalmente contra mundos rebeldes para fazer pender a terrivel balanca de atrito, colocando o poderio industrial do dominio em oposicao as vidas dos ?combatentes pela liberdade?. o defender foi um dos drones de guerra mais comumente usados pelo dominio, pois foi implantado para fortalecer comboios de fronteira e postos avancados vulneraveis em uma funcao de defesa pontual.","","","",
480,spark,SHIP,"um caca autonomo de ia, o spark e um interceptador resistente e agil. sem necessidade de proteger um piloto humano, o chassi abriga um gerador de escudo miniaturizado.","","","",
390,planet_nortia,CUSTOM,"um grande, embora anonimo, planetoide metalico/silicato capturado no ponto l4 do gigante gasoso salus, nortia ja foi dedicado a operacoes sazonais de mineracao robotica e abuso de substancias antes de ser inundado com refugiados durante a crise de askonia. constitui agora a base independente mais forte de rebeldes chartistas do sistema.","","desde a crise, os centros de mineracao e refino de nortia transformaram-se em suburbios extensos e tumorosos de espuma rochosa; aqui seguindo tuneis de mineracao abaixo da superficie, ali borbulhando conjuntos de comunicacao, coletores solares e cupulas de pressao. a governacao civil e levada a cabo sob a forma de um acordo dificil entre as forcas de resistencia chartistas clandestinas (organizadas numa dupla hierarquia militar/estrutura celular) que apoiam um cartel superficial de contrabandistas independentes que fingem ser um governo legitimo - que ate se vangloria de algo parecido com uma presenca diplomatica de hegemonia.","",
43,sabot,WEAPON,"dispara uma propagacao de 2o estagio de penetradores cineticos de alta velocidade quando dentro do alcance. danos pesados aos escudos e danos massivos de emp ao impactar o casco ou armadura inimiga. dificil parar com pd. os misseis da classe sabot sao armas ke de curto alcance e dois estagios. o primeiro estagio de um missil guiado projeta um conjunto secundario dentro da distancia de ataque de um alvo protegido. o computador de mira de bordo entao acende o propelente para um penetrador ke. este 'sabot', como e comumente chamado, e tipicamente um projetil estreito, estabilizado lateralmente, fabricado a partir de um material ultradenso, como o uranio empobrecido. excelente para derrubar escudos inimigos e causar sobrecarga. a blindagem padrao da nave e espacada e, portanto, o sabot causa danos mais gerenciaveis se os escudos forem abaixados a tempo de receber o impacto na blindagem. este sistema de armas possui uma cremalheira de disparo que abriga varios misseis.","","","",
157,marines,RESOURCE,"fortemente armados e equipados com armaduras motorizadas, os fuzileiros navais se especializam em operacoes no planeta, como ataques.","","","",
355,station_achaman_enterprise,CUSTOM,"valor da estacao achaman e ser um porto de escala relativamente seguro para os varios habitantes do disco de guayota interagirem com comerciantes do setor em geral, que de outra forma raramente arriscam os piratas e a dificil navegacao do disco. a tri-tachyon corporation, como ?zeladora? da estacao, esta bem situada para explorar o seu valor com facilidade ? e fa-lo. costuma-se dizer que tudo esta a venda na estacao achaman.","","transportes reluzentes trazem executivos da tri-tach ate aqui para roubar metais e produtos quimicos brutos dos habitantes locais, que recebem, por sua vez, o conjunto habitual de ?remedios? recreativos e para melhorar o desempenho. a garantia de qualidade tri-tachyon e lei aqui - contanto que voce garanta o pagamento imediato da assinatura dos gadgets, bens, ferramentas e suporte de vida fornecidos pela tri-tachyon corporation, voce pode contar com o recebimento de 'top treatment, the tri-tachyon caminho!'.","",
534,shockrepeater,WEAPON,"""de alguma forma, ele passou pelo cordao e entrou na flotilha de apoio. sensores fundidos, navegacao e suporte de vida nos transportes da tripulacao antes que os lobos o destruissem. agora temos um suprimento vitalicio de lagosta volturniana congelada, mas nao sobressalente cicladores de ar de 3a geracao. essas sao as prioridades executivas para voce.","- interceptacao tri-tachyon moral assurance, anexada ao relatorio de rescisao de funcionario","","",
249,drone_station_high,SHIP_SYSTEM,um anel de drones de defesa ao redor da estacao.,"",um anel de drones de defesa ao redor da estacao.,"",
498,devastator,WEAPON,"essencialmente um canhao antiaereo de tamanho capital de disparo rapido, o devastator foi desenvolvido pela domain armada usando pecas genericas em resposta a um mundo rebelde que conseguiu adquirir um extenso conjunto de cacas lpcs. tres barris lancam uma rapida saraivada de projeteis explosivos. a rapida cadencia de tiro produz um tal volume de municoes que os detectores de proximidade tornam-se pouco fiaveis, disparando a uma distancia aparentemente aleatoria. a margem de erro foi considerada aceitavel apos resultados espetaculares em campo. uma unica salva do devastator pode eliminar uma asa de caca ou uma serie de misseis, embora os projeteis tenham uso limitado contra alvos maiores ou mais distantes.","","","",
