id,trigger,conditions,script,text,options,notes
# default entity interaction,,,,,,
defaultOpenDialog,OpenInteractionDialog,,"ShowDefaultVisual
PrintDescription 3
SetShortcut defaultLeave ""ESCAPE""",,defaultLeave:Sair,
defaultLeave,DialogOptionSelected,$option == defaultLeave,DismissDialog,,,
# warning beacons,,,,,,
beaconOpenDialog,OpenInteractionDialog,$tag:warning_beacon,"ShowDefaultVisual
SetShortcut beaconLeave ""ESCAPE""","Um farol de alerta autônomo foi deixado emitindo um lamento distorcido entre os canais oficiais. Qualquer que fosse a mensagem que pretendia transmitir, foi corrompida.",beaconLeave:Sair,
beaconOpenDialogRemnantsDestroyed,OpenInteractionDialog,"$tag:warning_beacon
$remnantDestroyed","ShowDefaultVisual
SetShortcut beaconLeave ""ESCAPE""","Este farol de alerta autônomo emite uma mensagem em loop. ""PERIGO: Este sistema estelar é conhecido por conter sistemas de armas autônomos potencialmente ativos. O acesso a este sistema por partes não autorizadas é proibido pelo diktat 224.34 da Marinha Hegemônica.""",beaconLeave:Sair,
beaconOpenDialogRemnantsSuppressed,OpenInteractionDialog,"$tag:warning_beacon
$remnantSuppressed","ShowDefaultVisual
SetShortcut beaconLeave ""ESCAPE""","Este farol de alerta autônomo emite uma mensagem em loop. ""PERIGO: Este sistema estelar é conhecido por conter sistemas de armas autônomos potencialmente ativos. O acesso a este sistema por partes não autorizadas é proibido pelo diktat 224.34 da Marinha Hegemônica.""",beaconLeave:Sair,
beaconOpenDialogRemnantsResurgent,OpenInteractionDialog,"$tag:warning_beacon
$remnantResurgent","ShowDefaultVisual
SetShortcut beaconLeave ""ESCAPE""","Este farol de alerta autônomo emite uma mensagem em loop. ""PERIGO: Este sistema estelar é conhecido por conter sistemas de armas autônomos potencialmente ativos. O acesso a este sistema por partes não autorizadas é proibido pelo diktat 224.34 da Marinha Hegemônica.""",beaconLeave:Sair,
beaconOpenDialogDaedaleon,OpenInteractionDialog,"$tag:warning_beacon
$daedaleon","ShowDefaultVisual
SetShortcut beaconLeave ""ESCAPE""","Este farol de alerta autônomo emite uma mensagem em loop. ""Este mundo está corrompido pelo pecado tecnológico e sua abominação é um testemunho do resultado de se desviar do caminho da virtude. A transgressão é proibida. Qualquer um que desprezar este aviso se tornará corrupto do corpo e fora da lei pela santa justiça imposta por esta ordem de os Cavaleiros de Ludd.""",beaconLeave:Sair,
beaconLeave,DialogOptionSelected,$option == beaconLeave,DismissDialog,,,
,,,,,,
# gate interactions,,,,,,"# we can treat $global.gatesActive as ""has working Janus device"" -dgb"
gateOpenDialog,OpenInteractionDialog,$tag:gate,"ShowDefaultVisual
FireAll PopulateGateOptions","Um anel silencioso de material adamantino, abandonado por uma era anterior. O Portão está inerte.",,
gateOpenDialogActive,OpenInteractionDialog,"$tag:gate
$global.gatesActive
$gateScanned
$global.playerCanUseGates","ShowDefaultVisual
FireAll PopulateGateOptions","Diante de você, vasto e potente, pende um anel de adamantino, abandonado por uma era anterior. Você examinou este Portão e descobriu o ritmo do coração secreto da coisa, escondido em um pedaço de espaço. Usar o Dispositivo Janus para criar uma ponte para outro Portal requer uma enorme quantidade de combustível. Quanto mais distante o alvo, mais combustível será necessário. O Dispositivo Janus opera transferindo enormes quantidades de energia em fases peculiares através do campo de hiperpropulsor de uma nave líder para estabilizar uma conexão direta de porta a porta.",,
gateOpenDialogActiveCanNotUse,OpenInteractionDialog,"$tag:gate
$global.gatesActive
$gateScanned
!$global.playerCanUseGates","ShowDefaultVisual
FireAll PopulateGateOptions","Diante de você, vasto e potente, pende um anel de adamantino, abandonado por uma era anterior. Você examinou este Portão e descobriu o ritmo do coração secreto da coisa, escondido em um pedaço de espaço. Usar o Dispositivo Janus para criar uma ponte para outro Portal requer uma enorme quantidade de combustível. Quanto mais distante o alvo, mais combustível será necessário. Você deve integrar o Dispositivo Janus à sua frota para usar o Portão.",,
gateOpenDialogCanScan1,OpenInteractionDialog,"$tag:gate
$global.canScanGates
!$global.gatesActive
!$gateScanned","ShowDefaultVisual
FireAll PopulateGateOptions","Um anel silencioso de material adamantino, abandonado por uma era anterior. Seu oficial de sensores acena com a sua deixa. Sua interface de comando acende. 'EXECUTE SCAN' pisca em expectativa. O Portão aguarda, frio como uma tumba.",,
gateOpenDialogCanScan1a,OpenInteractionDialog,"$tag:gate
$global.canScanGates
!$global.gatesActive
$gateScanned","ShowDefaultVisual
FireAll PopulateGateOptions","Um anel silencioso de material adamantino, abandonado por uma era anterior. Você examinou este Portão e descobriu o ritmo do coração secreto da coisa, escondido em um pedaço de espaço.",,
gateOpenDialogCanScan2,OpenInteractionDialog,"$tag:gate
$global.canScanGates
$global.gatesActive
!$gateScanned","ShowDefaultVisual
FireAll PopulateGateOptions","Um anel silencioso de material adamantino, abandonado por uma era anterior. Seu oficial de sensores acena para você; o scanner de hiperondas está pronto. As palavras 'EXECUTE SCAN' piscam com expectativa na sua interface de comando. Você precisará de uma varredura deste Gate para poder usá-lo, com o Dispositivo Janus, como ponto de acesso ou saída da rede do Gate.",,
gateFlyThrough,DialogOptionSelected,$option == gateFlyThrough,"$flewThrough = true 0
FireAll PopulateGateOptions",Você ordena que seu $shipOrFleet atravesse o portal morto. A tripulação da ponte fica especialmente silenciosa durante a passagem. Nada acontece.,,
gateScanSelFirstTime,DialogOptionSelected,"$option == gateScan
!$global.gatesActive
$global.numGatesScanned == 0
$global.gaATG_inProgress","$gateScanned = true
$global.numGatesScanned++
Call $global.gaATG_ref scannedGateForCoureuse
GateCMD notifyScanned
ShowDefaultVisual
FireBest GAATGGateScanSummary","Sua tela de comando é sobreposta com uma representação da variedade do hiperespaço ao redor do Portal. É calmo e fresco, sem despertares. À medida que a varredura começa, você observa uma linha de interrupção entre o ícone que representa sua nave capitânia e o ícone que representa o Portão. Espirais e ondulações se espalham em ondas não newtonianas, surgindo de um ponto no centro do Portão. Não, não é um ponto - um círculo, uma esfera, um toro e um funil invertido; depois alguma outra forma que faz você fechar os olhos com força. Você ouve uma música fraca vinda de longe. ""Capitão?"" Seu oficial de sensores está olhando para você: ""A varredura foi concluída."" Você percebe que é a segunda vez que eles dizem isso e gesticula como se estivesse simplesmente perdido em pensamentos.",,
gateScanSelDuringMission,DialogOptionSelected,"$option == gateScan
!$global.gatesActive
$global.gaATG_inProgress
$global.numGatesScanned > 0
$global.numGatesScanned < 6","$gateScanned = true
$global.numGatesScanned++
Call $global.gaATG_ref scannedGateForCoureuse
GateCMD notifyScanned
ShowDefaultVisual
FireBest GAATGGateScanSummary","Sua tela de comando mostra uma representação da variedade do hiperespaço. É calmo e legal. A varredura começa, uma linha de interrupção se espalha entre sua nave capitânia e o Portal. Espirais e ondulações se espalham e surgem em explosões não newtonianas a partir de um ponto no centro do Portão. Não, não é um ponto - um círculo, uma esfera, um toro e um funil invertido; então alguma geometria que não é analisada. Você ouve a música fraca. ""Capitão"", relata seu oficial de sensores, ""A varredura foi concluída"".",,
gateScanSel,DialogOptionSelected,$option == gateScan,"$gateScanned = true
$global.numGatesScanned++
GateCMD notifyScanned
ShowDefaultVisual
FireAll PopulateGateOptions","Sua tela de comando mostra a variedade do hiperespaço. É calmo e legal. O feixe de varredura brilha na exibição hiperdimensional. Espirais e ondulações se espalham em rajadas do Portão, surgindo em uma geometria inconcebível. Você ouve um toque de música fraca. ""Capitão"", relata seu oficial de sensores, ""A varredura foi concluída"".",,
gateUseOptSel,DialogOptionSelected,"$option == gateUse
$global.gatesActive",GateCMD selectDestination,,,
gateFlyThroughOpt,PopulateGateOptions,"!$flewThrough
!$global.gatesActive
!$gateExploded",,,5:gateFlyThrough:Voe através do Portão,
