id,type,text1,text2,text3,text4,notes
lightmg,WEAPON,"Uma categoria de venerável arma de fogo rápido, de baixo custo e prontamente disponível, que tem sido usada com eficácia contra mísseis e caças de curto alcance ao longo da história do combate espacial. Quase inúteis versus alvos devidamente blindados.

Devido à facilidade de fabricação e modificação, existem centenas de variantes. Qualquer uma dessas armas que dispara rapidamente projéteis inertes de propulsão química - facilmente produzidos até mesmo por uma autoforja rudimentar - sob um certo calibre pode ser classificada como metralhadoras leves montadas em navios. Os mecanismos que orientam as ações destas armas variam consideravelmente. 

Popular entre pequenas embarcações civis devido ao baixo custo. Projéteis revestidos com metais com alto ponto de fusão permitem maior velocidade inicial e fornecem uma quantidade surpreendentemente grande de energia cinética a curta distância.",,"",,
lightdualmg,WEAPON,"Uma versão atualizada de cano duplo da venerável metralhadora leve. Não é eficaz contra alvos blindados, mas tem se destacado em uma função antimíssil e de caça desde o início do combate espacial humano.

Esta é uma montagem dupla da mesma arma de projétil químico de fogo rápido, inerte e de baixo calibre. conhecido por todos os pilotos do Setor. Uma excelente montagem de defesa pontual, que se destaca tanto na interdição de mísseis quanto na função anti-caça. 

A grande quantidade de energia cinética fornecida para proteger os sistemas de naves inimigas a curta distância normalmente causa sobrecarga do emissor, uma opção tática frequentemente ignorada por capitães inexperientes.",,"",,
lightmortar,WEAPON,"Uma arma antiquada que dispara projéteis anti-blindagem com baixa cadência de tiro, velocidade de cano e alcance. Seu acúmulo de baixo fluxo é uma única graça salvadora.

Os projetos de armas para morteiros leves não foram planejados para naves espaciais, mas uma modificação engenhosa no mecanismo de carregamento da culatra permite a instalação e uso fora de um ambiente atmosférico. Em combate, há pouco que o Morteiro Leve possa fazer contra alvos móveis ou protegidos devido à sua terrível rotação de montaria e cadência de tiro. No entanto, é frequentemente usado para treinar oficiais de artilharia novatos nos detalhes de táticas e nomenclatura balística espacial.

Comumente instalado em iates particulares e veículos interplanetários individuais devido à baixa massa e custo.",,"",,
heavymortar,WEAPON,"Uma arma antiquada que dispara projéteis anti-blindados maiores com uma cadência de tiro um pouco maior do que sua prima menor. A velocidade do projétil é baixa e o alcance efetivo é curto. O acúmulo de baixo fluxo é uma única graça salvadora.

O Heavy Mortar foi originalmente projetado para uso em combate de superfície planetária. Ostensivamente destinado a quebrar fortificações, foi muito mais utilizado em bombardeios urbanos. Os robustos mecanismos internos permitem a instalação e utilização fora de um ambiente atmosférico com apenas pequenos ajustes, nomeadamente a substituição do módulo automático de telêmetro/alvo. Quando empregado contra alvos grandes, desprotegidos e de movimento lento, o morteiro pesado pode ser mais eficaz.",,"",,
vulcan,WEAPON,"Uma arma de disparo rápido que é especialmente devastadora para mísseis e caças à queima-roupa. A precisão diminui drasticamente durante rajadas prolongadas de fogo. 

Esta plataforma de armas com vários canos é construída em torno de um mecanismo de temporização avançado, geralmente fabricado apenas por fábricas de automóveis autorizadas pela Hegemonia. As munições normalmente usam pontas de urânio empobrecido e não são explosivas. Vários barris permitem uma cadência de tiro extremamente alta, embora com um alto custo de fluxo.",,"",,
lightac,WEAPON,"Um canhão automático de pequeno calibre com bom alcance para uma arma tão leve. Projetado para combater os escudos inimigos, é especialmente eficaz contra os geradores mais fracos montados em cascos menores.

Apresenta projéteis cinéticos de alta velocidade que fornecem excelente arma de suporte de fogo para embarcações menores. A baixa taxa de rotação da montagem devido a um autoloader complexo e ao resfriamento líquido tornam o Light Autocannon uma má escolha contra caças e mísseis.",,"",,
lightdualac,WEAPON,"Uma versão de cano duplo do Light Autocannon. Uma excelente arma para suporte de curto alcance e bastante eficaz para derrubar escudos, ela sofre de um alcance efetivo mais curto devido ao alto recuo.

Um design mecânico engenhoso evita que as portas de ejeção sejam bloqueadas enquanto expele o dobro cartuchos gastos como o chassi padrão do Light Autocannon. Assim como a versão de cano único, a arma dispara projéteis de alta velocidade projetados para perfurar os escudos inimigos. Os sistemas Autoloader e de refrigeração líquida são idênticos à versão de barril único.",,"",,
lightag,WEAPON,"Um canhão de pequeno calibre projetado para combates de curta distância, excelente contra armadura e com uma excelente taxa de tiro.

Canhão de pequeno calibre projetado para disparar projéteis altamente explosivos. O projeto dos sistemas de refrigeração e do autoloader enfatiza a segurança e a prevenção de cozimento potencialmente causado por altos níveis de fluxo. Favorecido por capitães de contratorpedeiros que têm algo a provar.",,"",,
fragbomb,WEAPON,"Libera um conjunto de bombas flutuantes que retêm o impulso da nave de lançamento. As bombas são equipadas com um fusível de proximidade.

Um projetor Frag Bomb dispara bombas de fragmentação Mark VI de três tubos. Não guiadas e sem sistema de propulsão, as bombas dependem de um sistema de mira amigo ou inimigo. Seu grande número lhes permite cobrir uma ampla área de espaço, criando efetivamente uma barreira de defesa pontual naquele local, embora por um tempo limitado. Quando o fusível de proximidade é acionado por uma nave inimiga, a bomba detonará, obtendo efeitos semelhantes aos das armas antiaéreas.",,"",,
clusterbomb,WEAPON,"Libera um conjunto de bombas flutuantes altamente explosivas. Mais eficaz contra alvos desprotegidos e de movimento lento.

Um projetor de Bomba Cluster está equipado com três tubos projetados para disparar dezenas de bombas penetradoras de formação explosiva Mark II. As bombas não são guiadas e não possuem sistema de propulsão, dependendo do impulso inicial da nave de ataque para atingir o alvo. Eles são equipados com um scanner de mira amigo ou inimigo e só detonam quando impactam um alvo apropriado. A carga explosiva moldada é altamente eficaz contra alvos não blindados. O grande número de bombas que podem ser implantadas por este sistema de armas é impressionante e, como tal, torna a Bomba Cluster uma arma útil para negar área.",,"",,
bomb,WEAPON,"Um sistema de armas testado e comprovado, o compartimento de bombas contém várias ogivas que dependem da velocidade da nave de lançamento para atingir seu alvo.

Cada compartimento de bombas está equipado com várias bombas Comp-X não guiadas de alto explosivo que pode ser liberado um de cada vez. As bombas não têm sistema de propulsão e dependem da velocidade da nave lançadora para carregá-las até o alvo (ou seja, bombardeio de mergulho). A blindagem atmosférica intrínseca ao design também dá às bombas um alto tempo de vida em um ambiente hostil de defesa de ponto.",,"",,
lightneedler,WEAPON,"Dispara rajadas de pequenas flechas com alta cadência de tiro. O volume de fogo pode sobrecarregar rapidamente os projetores do escudo, mas geralmente é ineficaz contra armaduras.

A Light Needler é uma arma de flecha de pequeno calibre, projetada para disparar munição sem caixa. Apresenta um sistema de alimentação impressionante que pode fornecer centenas de ""agulhas"" por segundo. Não há necessidade de um sistema ejetor e o espaço economizado é usado para fornecer unidades de resfriamento adicionais, aumentando enormemente a cadência de tiro. 

Domain A doutrina naval afirma que a arma deve ser usada em escudos inimigos de longo alcance, mas em caso de emergência, os oficiais de artilharia treinarão seus Needlers em alas de caça inimigas e ameaças de mísseis de longo alcance.",,"",,
railgun,WEAPON,"Uma melhoria de alta tecnologia do Canhão Automático, o canhão elétrico dispara projéteis precisos e de médio alcance. Assim como o AC, ele é excelente para esmagar geradores de escudos inimigos.

Uma versão miniaturizada do Canhão Gauss, o canhão elétrico depende de um forte campo magnético para disparar projéteis em altas velocidades. A precisão e o alcance são excelentes, e a torre é capaz de girar rapidamente sem disparar. 

O canhão elétrico é preferido ao Canhão Automático por oficiais de artilharia que possuem ampla capacidade de fluxo à sua disposição.",,"",,
shredder,WEAPON,"Um canhão rotativo generosamente projetado para proporcionar grande facilidade de operação e confiabilidade. Enquanto isso, oficiais de armas das marinhas profissionais do Setor Persean amaldiçoam o Thumper por recompensar maus hábitos de manutenção. 

Destrui mísseis e caças inimigos com uma chuva avassaladora de pequenas cargas úteis e projéteis de fragmentação de velocidade média. Embora eficiente em termos de fluxo, este sistema de armas tem pouco efeito contra armaduras e escudos.",,"",,
flak,WEAPON,"Um sistema de armas defensivas que dispara projéteis cheios de estilhaços equipados com um fusível de proximidade para efeito máximo contra caças e mísseis.

A crescente proeminência de caças pequenos e baratos, especialmente na função de ataque, levou a uma implantação mais ampla deste sistema de armas nos dias inebriantes pré-colapso. Dispara projéteis balísticos equipados com um fusível de proximidade. A explosão resultante envia uma saraivada de flechas em um grande volume com um raio de destruição respeitável em comparação com alvos padrão. Os modelos mais recentes apresentam um sistema de controle de fogo conectado a um Mark VI Predictor.",,"",,
